# Metrics
timestamp,generation,best_fitness,average_fitness,diversity,complexity,selection_strategy,crossover_strategy,mutation_strategy,local_search_algorithm
2025-01-23 10:34:58,1,0.4625,inf,0.1668,12.7720,tournament,uniform,subtree,
2025-01-23 10:35:07,11,0.2033,inf,0.1516,4.8280,roulette,subtree,diversity,
2025-01-23 10:35:22,21,0.4535,inf,0.0935,4.5680,roulette,subtree,diversity,
2025-01-23 10:35:38,31,0.2033,inf,0.0931,4.1060,roulette,subtree,diversity,
2025-01-23 10:35:53,41,0.4000,inf,0.0846,4.9580,roulette,subtree,diversity,
2025-01-23 10:36:09,51,0.2033,inf,0.0742,4.7360,roulette,subtree,diversity,
2025-01-23 10:36:25,61,0.4535,inf,0.1029,4.2240,roulette,subtree,diversity,
2025-01-23 10:36:41,71,0.4535,inf,0.1069,1.5800,roulette,subtree,diversity,
2025-01-23 10:36:58,81,0.4535,inf,0.0647,1.6140,roulette,subtree,diversity,
2025-01-23 10:37:14,91,0.2033,inf,0.1025,4.9660,roulette,subtree,diversity,
2025-01-23 10:37:30,101,0.2033,inf,0.0901,4.9800,roulette,subtree,diversity,

# Algorithm strategies track
timestamp,message
2025-01-23 10:34:58,Processing Problem 1
2025-01-23 10:34:58,Initializing Genetic Programming.
2025-01-23 10:34:58,Selection strategy changed from elitist to tournament | Reason: Low diversity detected
2025-01-23 10:34:58,Crossover strategy changed from one_point to uniform | Reason: Low diversity (<0.5)
2025-01-23 10:34:58,Mutation strategy changed from simple to subtree | Reason: Low diversity (<3)
2025-01-23 10:34:58,Local_search strategy changed from simulated_annealing to tabu_search | Reason: Low diversity (<3)
2025-01-23 10:34:58,Generation 1/200 - Best Fitness: 0.4625
2025-01-23 10:34:58,"Active strategies in Generation 1: selection=elitist, crossover=one_point, mutation=simple, local_search=simulated_annealing"
2025-01-23 10:34:58,"Active strategies in Generation 2: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:34:58,"Active strategies in Generation 3: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:34:58,"Active strategies in Generation 4: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:34:58,"Active strategies in Generation 5: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:34:58,Selection strategy changed from tournament to roulette | Reason: Stagnation detected
2025-01-23 10:34:58,Mutation strategy changed from subtree to diversity | Reason: Detected stagnation (no improvement for 7 generations)
