# Metrics
timestamp,generation,best_fitness,average_fitness,diversity,complexity,selection_strategy,crossover_strategy,mutation_strategy,local_search_algorithm
2025-01-23 10:45:05,1,0.2234,inf,0.3473,14.9000,tournament,uniform,subtree,
2025-01-23 10:45:06,11,0.2018,inf,0.1713,3.4400,roulette,subtree,diversity,

# Algorithm strategies track
timestamp,message
2025-01-23 10:45:05,Processing Problem 5
2025-01-23 10:45:05,Initializing Genetic Programming.
2025-01-23 10:45:05,Selection strategy changed from elitist to tournament | Reason: Low diversity detected
2025-01-23 10:45:05,Mutation strategy changed from simple to subtree | Reason: Low diversity (<3)
2025-01-23 10:45:05,Crossover strategy changed from one_point to uniform | Reason: Low diversity (<0.5)
2025-01-23 10:45:05,Local_search strategy changed from simulated_annealing to tabu_search | Reason: Low diversity (<3)
2025-01-23 10:45:05,Generation 1/20 - Best Fitness: 0.2234
2025-01-23 10:45:05,"Active strategies in Generation 1: selection=elitist, crossover=one_point, mutation=simple, local_search=simulated_annealing"
2025-01-23 10:45:05,"Active strategies in Generation 2: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:05,"Active strategies in Generation 3: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:06,"Active strategies in Generation 4: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:06,Selection strategy changed from tournament to roulette | Reason: Stagnation detected
2025-01-23 10:45:06,Mutation strategy changed from subtree to diversity | Reason: Detected stagnation (no improvement for 7 generations)
2025-01-23 10:45:06,Crossover strategy changed from uniform to subtree | Reason: Stagnation detected
2025-01-23 10:45:06,"Active strategies in Generation 5: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:06,"Active strategies in Generation 6: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:06,Selection strategy changed from roulette to tournament | Reason: Low diversity detected
2025-01-23 10:45:06,Crossover strategy changed from subtree to uniform | Reason: Low diversity (<0.5)
2025-01-23 10:45:06,Mutation strategy changed from diversity to subtree | Reason: Low diversity (<3)
2025-01-23 10:45:06,"Active strategies in Generation 7: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:06,"Active strategies in Generation 8: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:06,"Active strategies in Generation 9: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:06,"Active strategies in Generation 10: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:06,Selection strategy changed from tournament to roulette | Reason: Stagnation detected
2025-01-23 10:45:06,Crossover strategy changed from uniform to subtree | Reason: Stagnation detected
2025-01-23 10:45:06,Mutation strategy changed from subtree to diversity | Reason: Detected stagnation (no improvement for 7 generations)
2025-01-23 10:45:06,Generation 11/20 - Best Fitness: 0.2018
2025-01-23 10:45:06,"Active strategies in Generation 11: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:06,Selection strategy changed from roulette to tournament | Reason: Low diversity detected
2025-01-23 10:45:06,Crossover strategy changed from subtree to uniform | Reason: Low diversity (<0.5)
2025-01-23 10:45:06,Mutation strategy changed from diversity to subtree | Reason: Low diversity (<3)
2025-01-23 10:45:06,"Active strategies in Generation 12: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
2025-01-23 10:45:06,"Active strategies in Generation 13: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:06,"Active strategies in Generation 14: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:06,"Active strategies in Generation 15: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:06,Selection strategy changed from tournament to roulette | Reason: Stagnation detected
2025-01-23 10:45:06,Crossover strategy changed from uniform to subtree | Reason: Stagnation detected
2025-01-23 10:45:06,Mutation strategy changed from subtree to diversity | Reason: Detected stagnation (no improvement for 7 generations)
2025-01-23 10:45:06,"Active strategies in Generation 16: selection=tournament, crossover=uniform, mutation=subtree, local_search=tabu_search"
2025-01-23 10:45:06,"Active strategies in Generation 17: selection=roulette, crossover=subtree, mutation=diversity, local_search=tabu_search"
